,CAISO_Demand_MWh,CAISO_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_SO2,delta_NOx
2022-01-05 01:00:00,21956,272.492222,1,1,97,-17.677351999999928,-1109.0,606921.1282626307,44.1672713666531,189.63770218466493
2022-01-05 02:00:00,21726,382.811094,2,1,98,110.318872,-230.0,393778.1604632577,71.77001304988335,96.38775453200856
2022-01-05 03:00:00,21356,403.194686,3,1,99,20.383591999999965,-370.0,59541.17191915121,-69.27984544258544,-62.170661127272524
2022-01-05 04:00:00,21493,362.22613,4,1,100,-40.96855599999998,137.0,293059.2792659616,56.6295111364243,40.73316197227723
2022-01-05 05:00:00,22044,423.964214,5,1,101,61.738084000000015,551.0,290993.14639316313,-15.140866536211036,-9.132583696707798
2022-01-05 06:00:00,23437,419.286844,6,1,102,-4.677370000000053,1393.0,748415.7075723764,-37.43276505379902,90.87972621371614
2022-01-05 07:00:00,25373,355.83063400000003,7,1,103,-63.45620999999994,1936.0,-252280.77366673108,-28.78029178101218,-14.152952771533592
2022-01-05 08:00:00,26350,652.308668,8,1,104,296.478034,977.0,-1206437.6951545859,-20.995982032273503,-500.96969401009767
2022-01-05 09:00:00,26105,1426.355788,9,1,105,774.0471200000001,-245.0,-641954.2766708666,64.76572468055491,-68.13224781692327
2022-01-05 10:00:00,25117,1817.302276,10,1,106,390.9464879999998,-988.0,-291826.73155784514,-43.14380576769929,-40.178658669881656
2022-01-05 11:00:00,23955,1900.936868,11,1,107,83.63459200000011,-1162.0,-271266.1448442945,-22.764603104498462,-75.57342930861682
2022-01-05 12:00:00,22927,1849.68694,12,1,108,-51.249927999999954,-1028.0,-129578.10289937351,-30.187512079068455,-75.98768690763563
2022-01-05 13:00:00,22550,1842.401922,13,1,109,-7.285018000000036,-377.0,222400.35777385626,17.120240428911302,50.84949371965706
2022-01-05 14:00:00,22733,1865.324428,14,1,110,22.922505999999885,183.0,390319.52352867555,-5.9016372031626645,124.16828393738956
2022-01-05 15:00:00,23431,1751.6039939999998,15,1,111,-113.72043400000007,698.0,1027493.7962692417,25.978300080628003,147.54388968480498
