,ERCOT_Demand_MWh,ERCOT_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_NOx,delta_SO2
2022-01-07 18:00:00,50728.160175,17252.05,18,1,162,2160.470000000001,-305.2076750000051,-1473672.3337776735,-827.2845836044726,207.76091059109604
2022-01-07 19:00:00,49753.970375,19658.38,19,1,163,2406.3300000000017,-974.1898000000001,-2477481.3923581466,-1992.9258122921728,-1858.3960147589933
2022-01-07 20:00:00,48369.621725,19581.18,20,1,164,-77.20000000000073,-1384.34865,-1390263.2620881312,-658.2157376264167,-1335.655890724909
2022-01-07 21:00:00,46447.4222,19731.17,21,1,165,149.98999999999796,-1922.1995249999964,-1547196.6131122224,-658.3358229927253,-1359.6893670905993
2022-01-07 22:00:00,44399.7949,19635.4,22,1,166,-95.7699999999968,-2047.6273,-2451335.859930154,-977.1087428151022,-797.4239284890209
2022-01-07 23:00:00,42501.061525,19542.14,23,1,167,-93.26000000000204,-1898.7333750000034,-1515617.1011223868,-273.780815210519,-386.67849082029716
2022-01-08 00:00:00,41295.488925,19383.33,0,1,168,-158.80999999999767,-1205.5725999999995,-1281194.4839575142,68.19398877547974,557.4022247385365
2022-01-08 01:00:00,40436.33365,19206.0,1,1,169,-177.33000000000175,-859.1552749999973,-931651.6535055935,-414.11870313201325,372.9069113438163
2022-01-08 02:00:00,40082.486325000005,19157.52,2,1,170,-48.47999999999956,-353.8473249999952,-1305670.830956798,-479.7334415233836,-961.8835616236283
2022-01-08 03:00:00,39939.1976,19114.16,3,1,171,-43.36000000000058,-143.2887250000058,-373411.09577423707,-123.02605036640125,177.42697172608314
2022-01-08 04:00:00,40325.3063,19098.69,4,1,172,-15.470000000001164,386.10869999999704,119799.8336836882,58.04616722295941,668.0859577613555
2022-01-08 05:00:00,41207.312175,18780.2,5,1,173,-318.48999999999796,882.0058750000026,1556995.769938875,331.99877762587494,-1272.6664550987443
2022-01-08 06:00:00,42223.818025,18016.38,6,1,174,-763.8199999999997,1016.5058500000014,1466703.496427711,-14.257947751866595,1015.5276642278477
2022-01-08 07:00:00,43343.480800000005,17638.24,7,1,175,-378.1399999999994,1119.6627750000043,2228493.275738921,987.4005684928416,3874.0021097096724
2022-01-08 08:00:00,44222.374675,18830.76,8,1,176,1192.5199999999968,878.8938749999943,-807125.8531813845,-224.24335086851897,-2534.9573238957273
2022-01-08 09:00:00,44694.663375,18837.13,9,1,177,6.370000000002619,472.28869999999733,851704.9409132563,1371.6879530403276,66.30359123890594
2022-01-08 10:00:00,44556.4424,19047.5,10,1,178,210.36999999999898,-138.22097499999654,143960.56362833828,-110.07379624894747,256.9671658459738
2022-01-08 11:00:00,44049.978175,19097.77,11,1,179,50.27000000000044,-506.46422500000335,-229010.831586916,-319.36730335819993,853.6551017198544
2022-01-08 12:00:00,43387.432625,19157.46,12,1,180,59.68999999999869,-662.5455499999953,-202098.48160331324,-793.0843598014053,1119.9367193293292
2022-01-08 13:00:00,42549.023125,18889.14,13,1,181,-268.3199999999997,-838.4095000000016,-716807.5547128543,-165.96928100382502,-942.903171168422
2022-01-08 14:00:00,41893.61719999999,18803.23,14,1,182,-85.90999999999985,-655.4059250000064,-632381.7279714681,27.479164229645903,-1653.2612752627174
2022-01-08 15:00:00,41672.286475,18805.18,15,1,183,1.9500000000007276,-221.33072499999253,-672160.7399246395,-430.29924439230126,-1792.243924293125
2022-01-08 16:00:00,41815.17415,18160.49,16,1,184,-644.6899999999987,142.88767499999813,329547.7635763809,-113.62663653744494,170.0513121079639
2022-01-08 17:00:00,42547.408200000005,13713.65,17,1,185,-4446.840000000002,732.2340500000064,5112499.423829816,2742.1308649781895,5309.401522040818
2022-01-08 18:00:00,42309.46615,12446.62,18,1,186,-1267.0299999999988,-237.9420500000051,1944977.9071666114,1286.9661166131245,1653.779984949273
2022-01-08 19:00:00,41402.2858,13793.410000000002,19,1,187,1346.7900000000009,-907.1803500000024,-2225124.4603372365,-1189.7518975322455,-621.0198013877416
2022-01-08 20:00:00,40560.754875,15779.89,20,1,188,1986.4799999999977,-841.5309249999991,-2213607.588801902,-1530.518630027158,-1558.3775266488738
2022-01-08 21:00:00,39305.9922,17284.63,21,1,189,1504.7400000000016,-1254.7626749999981,-2422848.843396656,-1105.7563332173559,-3809.907606281049
2022-01-08 22:00:00,37829.530275,18396.35,22,1,190,1111.7199999999975,-1476.4619250000032,-2562445.259590782,-827.9094560828253,-2028.509990186958
2022-01-08 23:00:00,36315.514625,17719.48,23,1,191,-676.869999999999,-1514.015649999994,-684726.6670611538,-462.6176786947799,-526.731543642436
2022-01-09 00:00:00,35290.704750000004,16980.37,0,1,192,-739.1100000000006,-1024.809874999999,-797269.3414435275,-207.87977768117526,600.8563070401542
2022-01-09 01:00:00,34675.862649999995,17196.96,1,1,193,216.59000000000015,-614.8421000000089,-1835158.2065075934,-447.55022620077034,-832.8754018741965
2022-01-09 02:00:00,34476.91635,18146.04,2,1,194,949.0800000000017,-198.94629999999597,-1953929.9890594557,-249.19030764813942,-2315.6472067927625
2022-01-09 03:00:00,34507.119825,19088.56,3,1,195,942.5200000000004,30.203475000002072,-1424817.5167077184,-285.63419190951754,-2046.5422719936232
2022-01-09 04:00:00,34953.351875,19473.84,4,1,196,385.27999999999884,446.2320499999987,-860461.9579203278,-293.25393202066334,51.485855669274315
2022-01-09 05:00:00,35784.5892,20230.88,5,1,197,757.0400000000009,831.2373250000019,341064.6188596487,129.53362438762906,-1860.3279000517869
2022-01-09 06:00:00,36923.86555,20461.28,6,1,198,230.39999999999782,1139.27635,1256707.5814358257,127.19729792563794,1241.8136587809968
2022-01-09 07:00:00,38183.28255,20547.51,7,1,199,86.22999999999956,1259.4170000000013,1700236.760632161,373.71001827643704,2390.510614537203
2022-01-09 08:00:00,39746.0918,20647.5,8,1,200,99.9900000000016,1562.8092499999984,1881368.357245151,1068.6426737909496,2225.524710465701
2022-01-09 09:00:00,41086.556625,20407.97,9,1,201,-239.52999999999884,1340.4648249999955,1917972.3914144896,503.7697814746425,617.149229394061
2022-01-09 10:00:00,42029.176125,20801.050000000003,10,1,202,393.08000000000175,942.6195000000007,826393.9444710389,-54.47874381265865,-414.5602240585322
2022-01-09 11:00:00,42457.03485,21287.07,11,1,203,486.0199999999968,427.85872499999823,532660.9560489692,-36.04743306989076,262.2018101248723
2022-01-09 12:00:00,42554.605475,21000.24,12,1,204,-286.8299999999981,97.57062500000029,526622.6394777074,143.66451275954023,273.77770569200584
2022-01-09 13:00:00,42501.08365,21424.88,13,1,205,424.6399999999994,-53.52182499999617,-124617.13927617297,546.3735693458366,43.68563804571022
2022-01-09 14:00:00,42102.725900000005,20907.8,14,1,206,-517.0800000000017,-398.3577499999956,314905.13373278826,683.3877498294751,-543.7339259746586
2022-01-09 15:00:00,42070.036775,20593.37,15,1,207,-314.4300000000003,-32.689125000004424,-95017.617814444,639.6763225521026,-35.37045618257616
2022-01-09 16:00:00,42842.35545,19157.02,16,1,208,-1436.3499999999985,772.3186750000023,1017691.3214039169,-753.5569911444327,42.03921048192933
2022-01-09 17:00:00,44926.145175,16564.1,17,1,209,-2592.920000000002,2083.789724999995,3466560.6384995393,718.4656204425155,2264.568385477789
2022-01-09 18:00:00,45422.91895,15600.04,18,1,210,-964.0599999999977,496.7737750000015,2623168.8275763355,1318.5361748973337,2150.5999756813144
2022-01-09 19:00:00,45097.991875,16487.79,19,1,211,887.75,-324.9270749999996,-874235.2533418126,-875.3350768277269,-916.8057171695145
2022-01-09 20:00:00,44262.044925,16555.36,20,1,212,67.56999999999971,-835.9469499999977,-120607.75996822491,-236.62051796891683,-974.9395454504847
2022-01-09 21:00:00,42724.958975,17296.829999999998,21,1,213,741.4699999999975,-1537.0859500000006,-875414.2520997114,69.94022326742561,-499.23582651705146
2022-01-09 22:00:00,40951.57225,16241.23,22,1,214,-1055.5999999999985,-1773.386725000004,-286767.10207331926,43.47640432308981,-668.6184844452982
